Copy the point as are in the following webapp:
https://planetcalc.com/8576/

180;130
-312;210
491;182
-173;263
-76;-418
180;-484
216;-213
384;40
49;30
46;-212
453;104
-469;-367
-228;-385
-473;-207
-261;389
-9;99
169;-318
-262;20
-169;135
-256;308
189;325
32;-99
-104;-388
-326;432
-264;-222
318;122
-347;371
-430;477
-190;-4
-480;-465
-47;313
47;343
-332;444
308;240
401;-131
-420;463
362;53
-30;105
-398;-399
-277;-76
63;-489
370;-483
-366;-471
-329;489
245;-121
-193;-336
-320;-472
35;493
464;140
-411;-195
-344;252
-354;-427
434;-395
-161;495
-479;-365
296;296
-304;12
-145;-422
-327;-132
202;255
256;21
57;365
-66;-180
-153;-260
60;337
324;199
-415;-412
-125;406
-407;473
253;-65
149;-235
196;494
-440;124
-220;-363
-18;-276
-154;106
-18;-386
235;-327
43;-424
-290;-10
9;340
291;251
-36;-399
-121;-60
361;72
108;-109
-455;-266
-93;-137
-25;237
200;-426
34;-277
-497;-378
216;-157
-392;289
-446;453
170;69
302;219
371;-276
468;148
132;294
