-919114773;-31793267
-790667762;541874579
-683000700;107211883
-611070217;-284400946
-557422236;347666698
-488175480;-30295822
-481323243;-311488261
-448603031;-27463781
-368746891;62902233
-359644936;876376122
-339523245;-154226344
-327145226;-4019775
-323228619;-42034858
-308257192;131968430
-301218102;-129054183
-293120792;-101887602
-288429991;-457975278
-277970304;-671901349
-273916510;152049613
-271757006;5660954
-267742611;-34885068
-253109877;183931561
-245173281;697031346
-215920984;-69733342
-201449577;-757939847
-176466541;-362234642
-163998436;28829404
-157966725;822891716
-154967334;-278735971
-152982776;154058159
-152751580;-27110668
-141838305;163869129
-117167398;-340707750
-102437920;35677655
-102421303;58226979
-92435476;-366338188
-87989513;215389890
-81257638;585180296
-78103731;-21955274
-75042088;-182434290
-65614140;269695148
-64689711;548701812
-55863677;-142685213
-48325548;722989584
-43800406;-12509771
-37964330;-12558678
-37524665;160669649
-34809880;96806225
-32634946;68526
-28533131;156678339
-19931963;-134227078
-19498108;-330120034
-17777430;628479923
-14155447;-477290684
-8137365;-253268978
-7707168;10451073
-5807630;-420624922
-5695894;146954122
-5361237;6605484
-4137039;-190966383
-3791183;-128434743
95921;107751649
614564;624881996
5351914;114209379
8294823;-51682802
10000091;-92381440
14545442;240911690
19309755;102862977
20382829;112586518
20943177;458314860
21546595;-24451351
22868414;-90383493
24057101;221270676
24696351;40911382
44627204;489970338
53327292;536388
69473625;-92658628
69857973;-362727074
69961306;568176602
78381042;-726908367
78809526;-275294057
82270733;-326031423
82448147;-149257132
83212211;-553376444
91116877;-36768959
92877262;-79004452
93145181;577220411
98677571;699374662
103440823;-34753020
105843538;-400476659
107424128;287374126
110653264;-291667407
111981560;-90628010
112868652;305097914
116409687;-14158732
136904704;-651486130
143656208;16875190
158440031;-597555505
164112127;581530178
167072772;13355245
173467719;385571175
173955689;-217373910
181990266;-44711525
196822992;449851755
203538123;18383698
207071759;188211049
228796382;101905209
235286936;128649175
245815185;-16701591
274139852;288149964
275007496;94804204
311216240;39989006
333945192;-11559212
339855002;21517559
341847348;67037364
354131556;-975184732
369784471;-421684389
443387993;427486016
506803303;468668782
510861319;-31395765
516985846;-113305770
517204166;-168529755
566753895;742117380
568721077;226495351
608189097;220796248
621212831;11851138
730191661;300615958
753280269;61628326
